id,name,tag,x,y,district,IDDIST,direction,stars,n_reviews,min_price,max_price,platform
71036,Restaurante Statera,$$$$||Peruana||contemporánea||Opciones sin gluten||,-12.115658,-77.04344,MIRAFLORES,150122,"Avenida Mariscal La Mar 463, Miraflores, Lima 15074 Perú",50,130,80.0,280.0,tripadvisor
72471,Maras Restaurante,$$$$||Peruana||Latina||Internacional||,-12.092106,-77.02466,SAN ISIDRO,150131,"Amador Merino Reyna 551 Esquina Calle Begonias con Amador Merino Reyna, Lima L27 Perú",45,675,158.0,237.0,tripadvisor
29667,Ventarrón Restaurante Chiclayano & Barra,$$ - $$$||Peruana||Mariscos||Gastropub||,-12.149373,-77.020706,BARRANCO,150104,"Avenida Grau 276 Frente al Parque Municipal, Lima LIMA04 Perú",45,304,12.0,72.0,tripadvisor
144186,Aji 555 Real Thai Cuisine,$$ - $$$||Asiática||Tailandesa||Apto para vegetarianos||,-12.105918,-76.99234,SAN BORJA,150130,"Av. San Luis 2879 San Borja, Lima 41 Perú",45,361,20.0,83.0,tripadvisor
124291,Cebicheria La Mar,$$ - $$$||Peruana||Latina||Mariscos||,-12.113314,-77.0454,MIRAFLORES,150122,"Av. La Mar 770 Miraflores, Lima Perú",45,4864,79.0,99.0,tripadvisor
54216,Cosme,$$ - $$$||Peruana||Latina||Internacional||,-12.108092,-77.04027,SAN ISIDRO,150131,"Tudela y Varela 162 Media Cuadra de Miguel Dasso, Lima 15073 Perú",45,901, , ,tripadvisor
181709,Tzuru Restaurante Nikkei,$$ - $$$||Japonesa||Peruana||Mariscos||,-12.097001,-77.0161,SAN ISIDRO,150131,"Calle 21, #707 Urban Corpac, Lima lima 27 Perú",45,227, , ,tripadvisor
145703,Amoramar,$$$$||Peruana||Latina||Mariscos||,-12.144102,-77.01824,BARRANCO,150104,"Jr. Garcia y Garcia 175 Barranco, Lima 04 Perú",45,1000,99.0,158.0,tripadvisor
237185,Mayta Restaurante,$$$$||Peruana||Latina||Fusión||,-12.130622,-77.01971,MIRAFLORES,150122,"Av. Mariscal La Mar, 1285, Lima 15047 Perú",45,465,99.0,150.0,tripadvisor
241178,IK Restaurante,$$$$||Peruana||contemporánea||Fusión||,-12.118232,-77.03498,MIRAFLORES,150122,"Calle Elías Aguirre 179, Lima 18 Perú",45,1401,158.0,395.0,tripadvisor
32101,DonDoh,$$$$||Japonesa||Churrasquería||Parrillada||,-12.106183,-77.03707,SAN ISIDRO,150131,"Av. Conquistadores #999 San Isidro, Lima Perú",45,286,130.0,180.0,tripadvisor
138180,Chabuca Restaurant,$$$$||Peruana||Mariscos||Apto para vegetarianos||,-12.095196,-77.0379,SAN ISIDRO,150131,"Avenida Jorge Basadre 595 Dentro del Hotel Pullman Lima San Isidro, Lima 15081 Perú",45,190,39.0,79.0,tripadvisor
262488,Huaringas Bar,$$ - $$$||Peruana||Bar||Pub||,-12.123019,-77.036064,MIRAFLORES,150122,"Ovalo Bolognesi 460 Ovalo Bolognesi 460 - Miraflores, Lima 15074 Perú",45,292,28.0,59.0,tripadvisor
270316,EL HORNERO,$$$$||Churrasquería||Peruana||Parrillada||,-12.16734,-77.02828,CHORRILLOS,150108,"Malecon Almirante Miguel Grau 983, Lima Perú",45,525,59.0,138.0,tripadvisor
116095,Perroquet,$$$$||Peruana||Latina||Internacional||,-12.098123,-77.04863,SAN ISIDRO,150131,"Hotel Country, Los Eucaliptos 590, San Isidro, Lima Perú",45,369,197.0,395.0,tripadvisor
67121,Puquina Qocha,$$ - $$$||Peruana||Latina||,-12.061885,-77.04154,LIMA,150101,"Jr Héroes de Tarapacá 168, Lima 15001 Perú",45,647, , ,tripadvisor
76722,Restaurante Arlotia,$$ - $$$||Mediterránea||Europea||Española||,-12.148265,-77.02115,BARRANCO,150104,"Avenida Grau 340 A media cuadra del parque Municipal de Barranco, Lima Perú",45,197,24.0,59.0,tripadvisor
85038,LA73 Paradero Gourmet,$$ - $$$||Peruana||Latina||contemporánea||,-12.139511,-77.02326,BARRANCO,150104,"Av. El Sol Oeste 175, Barranco, Lima 15063 Perú",45,557,39.0,79.0,tripadvisor
64039,ámaZ Restaurante,$$$$||Apto para vegetarianos||Opciones veganas||Opciones sin gluten||,-12.128757,-77.02671,MIRAFLORES,150122,"Av. La Paz 1079, Lima Perú",45,1656, , ,tripadvisor
236060,Carnaval,$$$$||Bar||,-12.105828,-77.03892,SAN ISIDRO,150131,"Avenida Pardo y Aliaga 662 San Isidro, Lima 15073 Perú",45,116, , ,tripadvisor
221166,Cala Restaurante,$$$$||Peruana||Mariscos||contemporánea||,-12.144666,-77.02574,BARRANCO,150104,"Circuito de Playas, Lima 15063 Perú",45,2485,99.0,197.0,tripadvisor
